title,x_coord,y_coord
Abduction,0.7621743679046631,0.8044182062149048
Peter Abelard,0.6542271971702576,0.2037860006093979
Abhidharma,0.7309630513191223,0.3510562777519226
Abilities,0.5875151753425598,0.7765862941741943
Abner of Burgos,0.5344177484512329,0.12947823107242584
Judah Abrabanel,0.5681220889091492,0.43337947130203247
Abstract Objects,0.7815978527069092,0.5599793791770935
Essential vs. Accidental Properties,0.7973182797431946,0.5471182465553284
Action,0.5691413283348083,0.8095797300338745
Shared Agency,0.571143388748169,0.8261284828186035
The Logic of Action,0.8308817148208618,0.8087912201881409
Action-based Theories of Perception,0.7753193378448486,0.3811415433883667
Action at a Distance in Quantum Mechanics,0.924202024936676,0.3384915888309479
Actualism,0.8019979596138,0.5979917049407959
Adaptationism,0.9803692102432251,0.5765255689620972
Jane Addams,0.614011287689209,0.7386316061019897
Theodor W. Adorno,0.6441424489021301,0.7708679437637329
Advance Directives and Substitute Decision-Making,0.5284761786460876,0.7661501169204712
Giles of Rome,0.6539605855941772,0.2427947074174881
Ancient Skepticism,0.6787363886833191,0.4177696406841278
The Concept of the Aesthetic,0.5785554647445679,0.4857315123081207
19th Century Romantic Aesthetics,0.5365254282951355,0.42107754945755005
Aesthetic Judgment,0.5803016424179077,0.477746844291687
Beardsley's Aesthetics,0.5753076672554016,0.4881506860256195
18th Century British Aesthetics,0.5663895606994629,0.4487771689891815
Collingwood's Aesthetics,0.6578011512756348,0.5346559882164001
Croce's Aesthetics,0.5886417627334595,0.4930848777294159
The Definition of Art,0.5789771676063538,0.4998781085014343
Dewey's Aesthetics,0.6081106066703796,0.7756164073944092
Environmental Aesthetics,0.5657129883766174,0.4906459152698517
Existentialist Aesthetics,0.5528860092163086,0.523558497428894
Feminist Aesthetics,0.6201756000518799,0.6964058876037598
18th Century French Aesthetics,0.5753676891326904,0.46215102076530457
Gadamer's Aesthetics,0.5496194958686829,0.4782617688179016
18th Century German Aesthetics,0.5793907046318054,0.45317205786705017
Goodman's Aesthetics,0.7532535195350647,0.5040518641471863
Hegel's Aesthetics,0.6099776029586792,0.505442202091217
Heidegger's Aesthetics,0.5309556126594543,0.4909681975841522
Hume's Aesthetics,0.5640193819999695,0.5594769716262817
Japanese Aesthetics,0.4312776029109955,0.44558432698249817
Plato's Aesthetics,0.5420514345169067,0.29810836911201477
Schopenhauer's Aesthetics,0.5994499921798706,0.4790438711643219
Wittgenstein's Aesthetics,0.5695347785949707,0.5032735466957092
Aesthetics of the Everyday,0.5658990740776062,0.49067920446395874
Affirmative Action,0.4786052405834198,0.7843818068504333
Africana Philosophy,0.46390846371650696,0.5499284863471985
African Ethics,0.4698144793510437,0.556972086429596
African Sage Philosophy,0.4667172431945801,0.549078643321991
Afterlife,0.6623679399490356,0.5632089972496033
Agency,0.5717194676399231,0.7993255257606506
Reasons for Action: Agent-Neutral vs. Agent-Relative,0.5480579733848572,0.7655054330825806
Atheism and Agnosticism,0.6812851428985596,0.6229655742645264
Heinrich Cornelius Agrippa von Nettesheim,0.5707625150680542,0.23863044381141663
Akan Philosophy of the Person,0.4733354449272156,0.562130868434906
Weakness of Will,0.5920537710189819,0.8216175436973572
‘Abd al-Latif al-Baghdadi,0.6119524240493774,0.16131101548671722
Al-Farabi,0.6004401445388794,0.15895426273345947
Al-Farabi's Philosophy of Society and Religion,0.5169211030006409,0.5319823622703552
Al-Farabi's Psychology and Epistemology,0.6231903433799744,0.18428082764148712
Al-Ghazali,0.601820170879364,0.13630713522434235
Al-Kindi,0.6145412921905518,0.17492477595806122
Albert of Saxony,0.7246488332748413,0.17036136984825134
Albert the Great,0.7236866354942322,0.16790714859962463
Joseph Albo,0.543138861656189,0.16352060437202454
Alcmaeon,0.6863364577293396,0.05133539065718651
Samuel Alexander,0.655245840549469,0.10105390846729279
Alexander of Aphrodisias,0.6539664268493652,0.10334140807390213
Algebra,0.9409340023994446,0.7871933579444885
The Algebra of Logic Tradition,0.9528579115867615,0.794834554195404
Alienation,0.44677430391311646,0.8964981436729431
Louis Althusser,0.44087696075439453,0.8891507983207703
Altruism,0.5435304045677185,0.7324849963188171
Biological Altruism,1.0,0.5794762969017029
Robert Alyngton,0.6821601390838623,0.2511380612850189
Ambiguity,0.7755375504493713,0.6923298835754395
