primary_article,connected_article,start_x,start_y,finish_x,finish_y
Abduction,Scientific Discovery,0.7621743679046631,0.8044182062149048,0.8762291669845581,0.5129139423370361
Abilities,Knowledge How,0.5875151753425598,0.7765862941741943,0.7600173354148865,0.4794168770313263
Abstract Objects,Nominalism in Metaphysics,0.7815978527069092,0.5599793791770935,0.7794868350028992,0.5533392429351807
Abstract Objects,Platonism in Metaphysics,0.7815978527069092,0.5599793791770935,0.7854967713356018,0.56882244348526
Abstract Objects,Fiction,0.7815978527069092,0.5599793791770935,0.7947214841842651,0.5794388651847839
Abstract Objects,Physicalism,0.7815978527069092,0.5599793791770935,0.774641215801239,0.4927086532115936
Abstract Objects,The Analytic/Synthetic Distinction,0.7815978527069092,0.5599793791770935,0.8395270109176636,0.6491994261741638
Abstract Objects,Types and Tokens,0.7815978527069092,0.5599793791770935,0.7766687273979187,0.5774691700935364
Essential vs. Accidental Properties,Logical Truth,0.7973182797431946,0.5471182465553284,0.8364386558532715,0.6946866512298584
Essential vs. Accidental Properties,Aristotle's Metaphysics,0.7973182797431946,0.5471182465553284,0.6581030488014221,0.16420403122901914
Essential vs. Accidental Properties,The Epistemology of Modality,0.7973182797431946,0.5471182465553284,0.8001272678375244,0.6172612309455872
Action-based Theories of Perception,Bodily Awareness,0.7753193378448486,0.3811415433883667,0.7667770385742188,0.3719316720962525
Action-based Theories of Perception,Phenomenology,0.7753193378448486,0.3811415433883667,0.7043106555938721,0.4452835321426392
Action-based Theories of Perception,Embodied Cognition,0.7753193378448486,0.3811415433883667,0.8147229552268982,0.4228634238243103
Actualism,Classical Logic,0.8019979596138,0.5979917049407959,0.7953829765319824,0.8433778882026672
Advance Directives and Substitute Decision-Making,Respect,0.5284761786460876,0.7661501169204712,0.5106476545333862,0.7148953080177307
Advance Directives and Substitute Decision-Making,Personal Autonomy,0.5284761786460876,0.7661501169204712,0.5698471069335938,0.7919328808784485
Advance Directives and Substitute Decision-Making,The Principle of Beneficence in Applied Ethics,0.5284761786460876,0.7661501169204712,0.4681929647922516,0.8368696570396423
Advance Directives and Substitute Decision-Making,Well-Being,0.5284761786460876,0.7661501169204712,0.5271415710449219,0.5614021420478821
Advance Directives and Substitute Decision-Making,Decision-Making Capacity,0.5284761786460876,0.7661501169204712,0.5071550011634827,0.8949123024940491
Advance Directives and Substitute Decision-Making,Personal Identity,0.5284761786460876,0.7661501169204712,0.7468425631523132,0.5327542424201965
The Definition of Art,Plato's Aesthetics,0.5789771676063538,0.4998781085014343,0.5420514345169067,0.2981083691120148
The Definition of Art,Plato on Rhetoric and Poetry,0.5789771676063538,0.4998781085014343,0.5393515825271606,0.2953491508960724
The Definition of Art,Kant's Aesthetics and Teleology,0.5789771676063538,0.4998781085014343,0.5873072743415833,0.4654588997364044
